name,company_id,entity_type,summary,stock_ticker,currency,earnings_date,exchange,closing_price,previous_close,open,bid,ask,day_range,week_range,volume,avg_volume,market_cap,beta,pe_ratio,eps,dividend_yield,ex_dividend_date,target_est,url,people_also_watch,similar,risk_score,risk_score_text,risk_score_percentile,recommendation_rating,analyst_price_target,company_profile_address
Ålandsbanken Abp (ALBAV.HE),ALBAV.HE,EQUITY,Helsinki - Delayed Quote  • EUR,ALBAV.HE,EUR,2024-10-24 - 2024-10-24,up,34.2,34.1,34.6,34.2,34.7,34.20 - 34.80,30.30 - 39.60,351,513,522234016,0.205,9.421488,3.63,2.40 (7.04%),2024-03-27,,https://finance.yahoo.com/quote/ALBAV.HE/,"[{""last_price"":9.27,""perc_change"":""-0.11%"",""symbol"":""AKTIA.HE""},{""last_price"":33.6,""perc_change"":""-0.88%"",""symbol"":""ALBBV.HE""},{""last_price"":10.58,""perc_change"":""-1.95%"",""symbol"":""TOKMAN.HE""},{""last_price"":1.81,""symbol"":""CAPMAN.HE""},{""last_price"":11.15,""perc_change"":""-0.89%"",""symbol"":""ALMA.HE""},{""last_price"":11.4,""perc_change"":""-2.06%"",""symbol"":""OMASP.HE""},{""last_price"":7.92,""perc_change"":""-0.25%"",""symbol"":""TAALA.HE""},{""last_price"":13.5,""perc_change"":""+0.75%"",""symbol"":""EQV1V.HE""},{""last_price"":29.8,""perc_change"":""+0.17%"",""symbol"":""OLVAS.HE""},{""last_price"":10.55,""perc_change"":""-4.09%"",""symbol"":""ETTE.HE""},{""last_price"":18.7,""perc_change"":""-0.80%"",""symbol"":""EVLI.HE""},{""last_price"":3.584,""perc_change"":""-0.94%"",""symbol"":""CTY1S.HE""},{""last_price"":3.316,""perc_change"":""-1.31%"",""symbol"":""TEM1V.HE""},{""last_price"":5.74,""perc_change"":""+0.35%"",""symbol"":""ASPO.HE""},{""last_price"":11.45,""perc_change"":""+1.33%"",""symbol"":""ATRAV.HE""},{""last_price"":8.68,""perc_change"":""-0.80%"",""symbol"":""LAT1V.HE""}]","[{""last_price"":34.2,""perc_change"":""+0.29%"",""symbol"":""ALBAV.HE""},{""last_price"":11.4,""perc_change"":""-2.06%"",""symbol"":""OMASP.HE""},{""last_price"":10.8,""perc_change"":""-1.14%"",""symbol"":""NDA-FI.HE""}]",,,,,"{""current"":34.2}","Nygatan 2 Mariehamn, 22100 Finland"
CSL Limited (CSJA.F),CSJA.F,EQUITY,Frankfurt - Delayed Quote  • EUR,CSJA.F,EUR,2024-08-13 - 2024-08-13,down,87,88,86.5,86.5,88.5,86.50 - 87.00,71.00 - 95.00,10,0,86234923008,0.325,34.661354,2.51,2.64 (3.00%),2024-09-10,,https://finance.yahoo.com/quote/CSJA.F/,"[{""last_price"":172.14,""perc_change"":""-1.96%"",""symbol"":""CSJ.F""},{""last_price"":104,""perc_change"":""+0.48%"",""symbol"":""NOVA.F""},{""last_price"":434.2,""perc_change"":""-1.23%"",""symbol"":""VX1.F""},{""last_price"":33.2,""perc_change"":""-1.19%"",""symbol"":""CYZB.F""},{""last_price"":55,""perc_change"":""-1.79%"",""symbol"":""IBE5.F""},{""last_price"":104.84,""perc_change"":""-0.64%"",""symbol"":""D2MN.F""},{""last_price"":436.5,""perc_change"":""-0.34%"",""symbol"":""VX1.DE""},{""last_price"":50.64,""perc_change"":""-0.45%"",""symbol"":""0QF.MU""},{""last_price"":105,""perc_change"":""-0.94%"",""symbol"":""ESLC.F""},{""last_price"":332.4,""perc_change"":""-0.27%"",""symbol"":""2BH.F""},{""last_price"":15.3,""perc_change"":""-1.29%"",""symbol"":""ACO.F""},{""last_price"":22,""symbol"":""NLV.F""},{""last_price"":26.6,""perc_change"":""-1.48%"",""symbol"":""BSU.SG""},{""last_price"":203.4,""perc_change"":""-0.64%"",""symbol"":""MSN.F""},{""last_price"":81.52,""perc_change"":""-1.71%"",""symbol"":""SOT.F""},{""last_price"":26.6,""perc_change"":""-2.21%"",""symbol"":""BSU.F""}]","[{""last_price"":87,""perc_change"":""-1.14%"",""symbol"":""CSJA.F""},{""last_price"":122.8,""perc_change"":""-3.13%"",""symbol"":""ASND""},{""last_price"":6.68,""perc_change"":""-0.89%"",""symbol"":""RXRX""},{""last_price"":54.72,""perc_change"":""-0.91%"",""symbol"":""MRNA""}]",,,,,"{""current"":87}","655 Elizabeth Street Melbourne, VIC 3000 Australia"
Aditya Birla Fashion and Retail Limited (ABFRL.NS),ABFRL.NS,EQUITY,NSE - Free Realtime Quote  • INR,ABFRL.NS,INR,2024-11-07 - 2024-11-07,down,303.9,306.65,306.1,303.7,303.85,303.00 - 307.95,198.75 - 364.40,1195648,4676721,324167073792,0.136,,-6.65,0.00 (0.00%),,273,https://finance.yahoo.com/quote/ABFRL.NS/,"[{""last_price"":202.93,""perc_change"":""-5.78%"",""symbol"":""ABCAPITAL.NS""},{""last_price"":392.3,""perc_change"":""-0.30%"",""symbol"":""CROMPTON.NS""},{""perc_change"":""-1.78%"",""symbol"":""TRENT.NS""},{""last_price"":520.95,""perc_change"":""-1.19%"",""symbol"":""GUJGASLTD.NS""},{""perc_change"":""-0.98%"",""symbol"":""GODREJPROP.NS""},{""perc_change"":""+0.65%"",""symbol"":""COROMANDEL.NS""},{""perc_change"":""+1.62%"",""symbol"":""OBEROIRLTY.NS""},{""perc_change"":""-0.76%"",""symbol"":""BHARATFORG.NS""},{""perc_change"":""-1.14%"",""symbol"":""CUMMINSIND.NS""},{""last_price"":607.2,""perc_change"":""-0.36%"",""symbol"":""AUBANK.NS""},{""last_price"":875.05,""perc_change"":""-0.86%"",""symbol"":""RAMCOCEM.NS""},{""last_price"":499.5,""perc_change"":""+0.38%"",""symbol"":""APOLLOTYRE.NS""},{""perc_change"":""+0.68%"",""symbol"":""ALKEM.NS""},{""last_price"":270.15,""perc_change"":""-1.46%"",""symbol"":""M&MFIN.NS""},{""last_price"":670.55,""perc_change"":""-2.07%"",""symbol"":""INDHOTEL.NS""},{""perc_change"":""+0.73%"",""symbol"":""MFSL.NS""}]","[{""last_price"":303.9,""perc_change"":""-0.90%"",""symbol"":""ABFRL.NS""},{""last_price"":571.75,""perc_change"":""+2.79%"",""symbol"":""ARVINDFASN.NS""},{""last_price"":642,""perc_change"":""+3.47%"",""symbol"":""KKCL.NS""},{""perc_change"":""+3.75%"",""symbol"":""MANYAVAR.NS""},{""perc_change"":""+4.08%"",""symbol"":""MANYAVAR.BO""},{""last_price"":40.3,""perc_change"":""-0.25%"",""symbol"":""VIPCLOTHNG.NS""},{""last_price"":0.98,""perc_change"":""+1.03%"",""symbol"":""FILATFASH.BO""},{""last_price"":786,""perc_change"":""-0.94%"",""symbol"":""MONTECARLO.NS""},{""last_price"":260.05,""perc_change"":""-0.55%"",""symbol"":""RUPA.NS""},{""perc_change"":""-0.44%"",""symbol"":""LUXIND.NS""},{""perc_change"":""-0.76%"",""symbol"":""PAGEIND.NS""}]",,,,3.6,"{""average"":273,""current"":303.9,""high"":343,""low"":200}","Piramal Agastya Corporate Park, Building ‘A’ Mumbai, 400070 India"
Trent Limited (TRENT.NS),TRENT.NS,EQUITY,NSE - Free Realtime Quote  • INR,TRENT.NS,INR,2024-11-07 - 2024-11-07,down,7122.05,7252.45,7259,"7,124.90","7,125.00","7,071.00 - 7,273.85","2,175.00 - 8,345.00",278125,1054623,2588316794880,0.438,151.08295,47.14,0.00 (0.00%),2024-05-22,4322.58,https://finance.yahoo.com/quote/TRENT.NS/,"[{""last_price"":594.35,""perc_change"":""-1.85%"",""symbol"":""VBL.NS""},{""perc_change"":""-1.10%"",""symbol"":""PIIND.NS""},{""perc_change"":""-2.12%"",""symbol"":""TATACONSUM.NS""},{""perc_change"":""+0.19%"",""symbol"":""ASTRAL.NS""},{""perc_change"":""-0.96%"",""symbol"":""GODREJPROP.NS""},{""perc_change"":""+0.12%"",""symbol"":""POLYCAB.NS""},{""last_price"":303.8,""perc_change"":""-0.93%"",""symbol"":""ABFRL.NS""},{""perc_change"":""-2.32%"",""symbol"":""NAUKRI.NS""},{""perc_change"":""-4.08%"",""symbol"":""VOLTAS.NS""},{""perc_change"":""-1.37%"",""symbol"":""NAVINFLUOR.NS""},{""last_price"":670.55,""perc_change"":""-2.07%"",""symbol"":""INDHOTEL.NS""},{""perc_change"":""-1.38%"",""symbol"":""SRF.NS""},{""last_price"":538.3,""perc_change"":""-1.57%"",""symbol"":""BERGEPAINT.NS""},{""perc_change"":""-1.29%"",""symbol"":""TITAN.NS""},{""perc_change"":""-1.14%"",""symbol"":""CUMMINSIND.NS""},{""perc_change"":""-0.95%"",""symbol"":""CHOLAFIN.NS""}]","[{""perc_change"":""-1.77%"",""symbol"":""TRENT.NS""},{""perc_change"":""+0.36%"",""symbol"":""METROBRAND.NS""},{""perc_change"":""+0.19%"",""symbol"":""GOCOLORS.NS""},{""last_price"":175.74,""perc_change"":""+0.98%"",""symbol"":""KALAMANDIR.NS""},{""perc_change"":""+2.28%"",""symbol"":""V2RETAIL.NS""},{""last_price"":340.2,""perc_change"":""-1.00%"",""symbol"":""STYLEBAAZA.NS""},{""last_price"":175.9,""perc_change"":""+1.09%"",""symbol"":""KALAMANDIR.BO""},{""last_price"":183.83,""perc_change"":""-2.46%"",""symbol"":""MUFTI.NS""},{""last_price"":55.6,""perc_change"":""-0.38%"",""symbol"":""CRI""}]",,,,2.4,null,"Trent House, G-Block Mumbai, 400051 India"
Erbosan Erciyas Boru Sanayii ve Ticaret A.S. (ERBOS.IS),ERBOS.IS,EQUITY,Istanbul - Delayed Quote  • TRY,ERBOS.IS,TRY,2024-11-04 - 2024-11-08,up,199,197.6,194.2,198.6,199,194.20 - 200.00,160.00 - 339.25,10131,138820,3980000000,0.468,,-3.6,2.25 (1.14%),2024-07-08,,https://finance.yahoo.com/quote/ERBOS.IS/,"[{""perc_change"":""-0.25%"",""symbol"":""EGEEN.IS""},{""last_price"":17.1,""perc_change"":""-1.61%"",""symbol"":""VESBE.IS""},{""last_price"":8.24,""perc_change"":""-0.12%"",""symbol"":""AKSA.IS""},{""last_price"":27.06,""perc_change"":""-0.22%"",""symbol"":""JANTS.IS""},{""last_price"":33.3,""perc_change"":""+0.18%"",""symbol"":""ALKIM.IS""},{""last_price"":8.17,""perc_change"":""-0.37%"",""symbol"":""CEMTS.IS""},{""last_price"":34.3,""perc_change"":""-0.92%"",""symbol"":""CIMSA.IS""},{""last_price"":36.02,""perc_change"":""+0.45%"",""symbol"":""ISDMR.IS""},{""last_price"":48.3,""perc_change"":""+0.17%"",""symbol"":""ENKAI.IS""},{""last_price"":368.5,""perc_change"":""+0.55%"",""symbol"":""BANVT.IS""},{""last_price"":151.1,""symbol"":""AYGAZ.IS""},{""last_price"":3.65,""symbol"":""HEKTS.IS""},{""last_price"":3.64,""perc_change"":""+0.55%"",""symbol"":""EGSER.IS""},{""last_price"":72.4,""perc_change"":""-3.47%"",""symbol"":""KORDS.IS""},{""last_price"":39.48,""perc_change"":""+1.28%"",""symbol"":""ECILC.IS""},{""last_price"":74.05,""perc_change"":""+0.07%"",""symbol"":""TKFEN.IS""}]","[{""last_price"":199,""perc_change"":""+0.71%"",""symbol"":""ERBOS.IS""},{""last_price"":25.32,""perc_change"":""-0.71%"",""symbol"":""TCKRC.IS""},{""last_price"":3.72,""perc_change"":""+0.54%"",""symbol"":""CEMAS.IS""},{""last_price"":16.25,""perc_change"":""-1.03%"",""symbol"":""KOCMT.IS""},{""last_price"":3.241,""perc_change"":""-2.94%"",""symbol"":""TKA.DE""}]",,,,,"{""current"":199}","Anbar Mahallesi 895 Kayseri, 38002 Turkey"
"JiangXi BaiSheng Intelligent Technology Co., Ltd. (301083.SZ)",301083.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,301083.SZ,CNY,,up,14.34,14.18,14.18,14.32,14.33,14.04 - 14.39,8.50 - 21.30,3231000,3471974,2550612992,,71.7,0.2,0.12 (0.85%),2024-06-03,,https://finance.yahoo.com/quote/301083.SZ/,"[{""last_price"":11.57,""perc_change"":""+1.58%"",""symbol"":""300650.SZ""},{""last_price"":26.11,""perc_change"":""-2.76%"",""symbol"":""300548.SZ""},{""last_price"":14.99,""perc_change"":""+9.98%"",""symbol"":""600580.SS""},{""last_price"":69.85,""symbol"":""PRYMF""},{""last_price"":14.15,""perc_change"":""+3.59%"",""symbol"":""688038.SS""},{""last_price"":44.65,""perc_change"":""-0.73%"",""symbol"":""301023.SZ""},{""last_price"":9.12,""perc_change"":""-0.11%"",""symbol"":""688597.SS""},{""last_price"":36.44,""perc_change"":""-0.90%"",""symbol"":""300913.SZ""},{""last_price"":11.13,""perc_change"":""+1.83%"",""symbol"":""300800.SZ""},{""last_price"":6.94,""perc_change"":""+2.06%"",""symbol"":""300670.SZ""},{""last_price"":32.72,""perc_change"":""+1.39%"",""symbol"":""300843.SZ""},{""last_price"":13.68,""perc_change"":""+1.94%"",""symbol"":""603045.SS""},{""last_price"":18.59,""symbol"":""605178.SS""},{""last_price"":3.75,""perc_change"":""-9.20%"",""symbol"":""300506.SZ""},{""last_price"":6.18,""perc_change"":""+0.65%"",""symbol"":""300076.SZ""},{""last_price"":19.31,""perc_change"":""+4.95%"",""symbol"":""300342.SZ""}]","[{""last_price"":14.34,""perc_change"":""+1.13%"",""symbol"":""301083.SZ""},{""last_price"":23.3,""perc_change"":""-8.09%"",""symbol"":""6133.TW""},{""last_price"":29.6,""perc_change"":""-1.66%"",""symbol"":""1605.TW""}]",,,,,"{""current"":14.34}","No.1220 Xiaolan Middle Avenue Nanchang, 330052 China"
"Shanghai OPM Biosciences Co., Ltd. (688293.SS)",688293.SS,EQUITY,Shanghai - Delayed Quote  • CNY,688293.SS,CNY,,up,38.51,36.79,36.61,38.5,38.51,36.46 - 39.97,24.50 - 64.64,1992163,1004082,4419869696,0.901,110.02857,0.35,0.45 (1.22%),2024-09-20,53.41,https://finance.yahoo.com/quote/688293.SS/,"[{""last_price"":13.16,""perc_change"":""-3.94%"",""symbol"":""688046.SS""},{""last_price"":10.6,""perc_change"":""+1.15%"",""symbol"":""688319.SS""},{""last_price"":38.3,""perc_change"":""+2.54%"",""symbol"":""688302.SS""},{""last_price"":22.87,""perc_change"":""-0.13%"",""symbol"":""688062.SS""},{""last_price"":18.45,""perc_change"":""-1.49%"",""symbol"":""003020.SZ""},{""last_price"":5.36,""perc_change"":""+2.49%"",""symbol"":""688238.SS""},{""last_price"":48.55,""perc_change"":""-6.27%"",""symbol"":""688076.SS""},{""last_price"":39.61,""perc_change"":""+2.35%"",""symbol"":""688075.SS""},{""last_price"":7.03,""perc_change"":""+2.33%"",""symbol"":""688176.SS""},{""last_price"":7.56,""perc_change"":""+2.30%"",""symbol"":""603718.SS""},{""last_price"":13.96,""perc_change"":""+0.14%"",""symbol"":""688222.SS""},{""last_price"":61.63,""perc_change"":""+1.18%"",""symbol"":""301333.SZ""},{""last_price"":39.13,""perc_change"":""-0.48%"",""symbol"":""301096.SZ""},{""last_price"":22.76,""perc_change"":""-1.09%"",""symbol"":""688658.SS""},{""last_price"":60.3,""perc_change"":""-1.15%"",""symbol"":""6875.TWO""},{""last_price"":34.6,""perc_change"":""-0.14%"",""symbol"":""688513.SS""}]","[{""last_price"":38.51,""perc_change"":""+4.68%"",""symbol"":""688293.SS""},{""last_price"":1.99,""perc_change"":""-0.50%"",""symbol"":""SGMO""},{""last_price"":113.24,""perc_change"":""+1.13%"",""symbol"":""NVO""}]",,,,1.8,"{""average"":53.41,""current"":38.51,""high"":53.41,""low"":53.41}","Building 28 Shanghai, 201321 China"
Starteck Finance Limited (STARTECK.BO),STARTECK.BO,EQUITY,BSE - Free Realtime Quote  • INR,STARTECK.BO,INR,2024-11-01 - 2024-11-05,up,285.2,274.55,284.8,269.95,285.05,284.80 - 285.20,165.85 - 419.90,2001,1141,2826426112,-0.362,17.880878,15.95,0.00 (0.00%),2024-09-23,,https://finance.yahoo.com/quote/STARTECK.BO/,"[{""perc_change"":""+5.00%"",""symbol"":""ZSARACOM.BO""},{""last_price"":86.1,""perc_change"":""+5.00%"",""symbol"":""FINKURVE.BO""},{""last_price"":14.7,""perc_change"":""-2.07%"",""symbol"":""AVONMORE.BO""},{""last_price"":345.25,""perc_change"":""-0.16%"",""symbol"":""CSLFINANCE.BO""},{""last_price"":433.95,""perc_change"":""-0.55%"",""symbol"":""MONARCH.BO""},{""last_price"":733.9,""perc_change"":""+0.15%"",""symbol"":""SAHLIBHFI.BO""},{""last_price"":181.15,""perc_change"":""-5.82%"",""symbol"":""MASTERTR.BO""},{""last_price"":116.9,""perc_change"":""-0.09%"",""symbol"":""SONAL.BO""},{""perc_change"":""+0.15%"",""symbol"":""STOVACQ.BO""},{""last_price"":2.95,""perc_change"":""-4.84%"",""symbol"":""TILAK.BO""},{""last_price"":5.13,""perc_change"":""+0.58%"",""symbol"":""SULABEN.BO""},{""last_price"":194,""perc_change"":""+2.32%"",""symbol"":""LKPFIN.BO""},{""last_price"":157.9,""perc_change"":""+3.71%"",""symbol"":""RSDFIN.BO""},{""last_price"":325.15,""perc_change"":""-0.02%"",""symbol"":""SRGHFL.BO""},{""last_price"":15.52,""perc_change"":""-0.89%"",""symbol"":""INTECCAP.BO""},{""last_price"":782.55,""perc_change"":""+1.14%"",""symbol"":""STEELCAS.BO""}]","[{""last_price"":285.2,""perc_change"":""+3.88%"",""symbol"":""STARTECK.BO""},{""last_price"":519.25,""perc_change"":""-2.81%"",""symbol"":""RECLTD.NS""},{""last_price"":451.3,""perc_change"":""-2.66%"",""symbol"":""PFC.NS""},{""last_price"":209.55,""perc_change"":""-0.31%"",""symbol"":""IREDA.NS""},{""perc_change"":""-0.74%"",""symbol"":""BAJFINANCE.NS""}]",,,,,"{""current"":285.2}","Sunteck Centre Mumbai, 400057 India"
"Mutual-Tek Industries Co., Ltd. (6407.TWO)",6407.TWO,EQUITY,Taipei Exchange - Delayed Quote  • TWD,6407.TWO,TWD,,down,19.25,19.35,19.5,19.2,19.4,19.25 - 19.80,14.10 - 26.10,128139,218711,1446262016,0.628,20.263159,0.95,1.00 (5.17%),2024-07-10,,https://finance.yahoo.com/quote/6407.TWO/,"[{""last_price"":40.25,""perc_change"":""-0.25%"",""symbol"":""6276.TWO""},{""last_price"":31.2,""perc_change"":""-0.79%"",""symbol"":""6432.TWO""},{""last_price"":20.45,""perc_change"":""+0.49%"",""symbol"":""6418.TWO""},{""last_price"":31.3,""perc_change"":""+0.97%"",""symbol"":""6560.TWO""},{""last_price"":28,""perc_change"":""-1.06%"",""symbol"":""6270.TWO""},{""last_price"":41.75,""perc_change"":""+1.09%"",""symbol"":""6114.TWO""},{""last_price"":36.45,""perc_change"":""-3.57%"",""symbol"":""6229.TWO""},{""last_price"":39.8,""perc_change"":""-0.87%"",""symbol"":""6194.TWO""},{""last_price"":43.65,""perc_change"":""-3.00%"",""symbol"":""6405.TW""},{""last_price"":32.85,""perc_change"":""-2.23%"",""symbol"":""3666.TWO""},{""last_price"":9.91,""perc_change"":""+0.10%"",""symbol"":""6226.TW""},{""last_price"":100.5,""perc_change"":""-3.37%"",""symbol"":""6498.TWO""},{""last_price"":26.8,""perc_change"":""+0.94%"",""symbol"":""8074.TWO""},{""last_price"":38.1,""perc_change"":""-4.03%"",""symbol"":""6588.TWO""},{""last_price"":17.4,""perc_change"":""-1.97%"",""symbol"":""6431.TW""},{""last_price"":46.55,""perc_change"":""+1.53%"",""symbol"":""6272.TWO""}]","[{""last_price"":19.25,""perc_change"":""-0.52%"",""symbol"":""6407.TWO""},{""last_price"":7.01,""perc_change"":""-0.28%"",""symbol"":""3585.TWO""},{""last_price"":46.55,""perc_change"":""+1.53%"",""symbol"":""6272.TWO""},{""last_price"":26,""perc_change"":""-4.06%"",""symbol"":""5248.TWO""},{""last_price"":5.2,""symbol"":""3117.TWO""},{""last_price"":100.5,""perc_change"":""-3.37%"",""symbol"":""6498.TWO""},{""last_price"":10.6,""perc_change"":""-1.85%"",""symbol"":""7419.TWO""},{""last_price"":53.7,""perc_change"":""+0.56%"",""symbol"":""6775.TWO""},{""last_price"":61.2,""perc_change"":""+0.49%"",""symbol"":""6818.TWO""},{""last_price"":35.4,""perc_change"":""+10.11%"",""symbol"":""3595.TWO""},{""perc_change"":""-1.08%"",""symbol"":""6996.T""}]",,,,,"{""current"":19.25}","No. 25, Huacheng Road New Taipei City, 242 Taiwan"
"Jiangsu Baoli International Investment Co., Ltd. (300135.SZ)",300135.SZ,EQUITY,Shenzhen - Delayed Quote  • CNY,300135.SZ,CNY,,down,4.5,4.56,4.9,4.49,4.5,4.3800 - 5.0000,1.5700 - 6.2000,256582937,40598634,4147200000,0.441,,-0.04,0.00 (0.00%),2021-06-29,,https://finance.yahoo.com/quote/300135.SZ/,"[{""last_price"":8.45,""perc_change"":""+6.02%"",""symbol"":""300133.SZ""},{""last_price"":6.37,""perc_change"":""+2.91%"",""symbol"":""300099.SZ""},{""last_price"":18.19,""perc_change"":""+10.11%"",""symbol"":""300119.SZ""},{""last_price"":7.29,""perc_change"":""-3.32%"",""symbol"":""300088.SZ""},{""last_price"":3.67,""perc_change"":""+1.10%"",""symbol"":""300094.SZ""},{""last_price"":17.95,""perc_change"":""+0.17%"",""symbol"":""300115.SZ""},{""last_price"":24.79,""perc_change"":""-0.12%"",""symbol"":""300136.SZ""},{""last_price"":6.72,""perc_change"":""+2.28%"",""symbol"":""300140.SZ""},{""last_price"":2.79,""perc_change"":""-0.36%"",""symbol"":""300091.SZ""},{""last_price"":20.54,""perc_change"":""-1.96%"",""symbol"":""300100.SZ""},{""last_price"":21.96,""perc_change"":""+4.37%"",""symbol"":""300093.SZ""},{""last_price"":3.75,""perc_change"":""+1.90%"",""symbol"":""300110.SZ""},{""last_price"":12.07,""symbol"":""300121.SZ""},{""last_price"":1.82,""perc_change"":""+1.11%"",""symbol"":""300117.SZ""},{""last_price"":6.34,""perc_change"":""-4.95%"",""symbol"":""300032.SZ""},{""last_price"":13.52,""perc_change"":""+3.44%"",""symbol"":""300120.SZ""}]","[{""last_price"":4.5,""perc_change"":""-1.32%"",""symbol"":""300135.SZ""},{""perc_change"":""+0.83%"",""symbol"":""5011.T""}]",,,,,"{""current"":4.5}","Building 2 Shanghai, 201107 China"
